870,1499,141,174,1498,204,174,1473,204,1473,648,1473,1473,141,174,1498,1473,141,174,204,141,174,141,174,1498,1485,1485,1485,1485,1498
870,1446,174,1498,1498,204,141,204,1485,1498,1498,1485,1485,1460,1485,1460,204,1473,1473,648,648,1490,1473,174,204,204,1485,1490,1490,1499
870,1288,1485,1485,204,141,1473,648,648,141,1473,204,174,204,141,204,174,141,1473,141,648,141,141,204,174,141,141,204,1473,1473
870,1490,1499,1473,1473,174,141,648,141,141,174,1498,1485,1490,1485,1490,1499,1499,204,1485,1498,204,141,204,1473,141,1473,1473,141,648
870,1446,204,174,174,1473,204,1473,141,648,1473,1473,141,141,1473,648,648,648,141,648,1460,1485,1485,204,1473,1473,174,141,141,141
870,1499,1473,141,648,1490,1485,1498,1473,648,648,141,204,141,648,1473,648,1490,1485,1490,1473,648,141,174,1498,1485,1498,204,174,174
870,1490,1485,1490,1485,1460,1473,648,141,1473,1473,174,141,141,1473,174,204,1485,1498,141,1473,1473,648,1460,1485,1460,1460,1473,174,141
870,648,141,174,174,174,141,174,1473,204,1485,1498,1498,141,174,141,648,1460,204,174,174,1473,648,141,174,1473,204,174,174,141
870,1499,141,141,1473,1473,204,204,1473,141,648,1490,1473,648,141,1473,141,141,1473,204,1485,1490,1473,648,141,648,1490,1485,204,141
870,648,141,174,174,1498,1498,1485,1498,204,141,648,1490,1490,1485,1460,141,1473,141,141,174,141,648,1473,141,1473,1473,204,174,204
